SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,bestfitFLAG,COMMENT,ra_or,dec_or, radr3, decdr3
        50,      4201781696994073472, 12.2534933, 12.2560062, 12.2192173,  0.0367889,NOT_AVAILABLE,      0,true, 22, 21,  0,OK,     290.1452376415207937,      -7.6674043043422229,     290.1452376415211916,      -7.6674043043423437
       103,       318506871931567616, 12.7033577, 13.1695051, 12.0703650,  1.0991402,NOT_AVAILABLE,      0,true, 29, 29,  1,OK,      26.5153628687139005,      35.9134931673230966,      26.5158649435294187,      35.9117975338209874
       104,       356922880493142016, 12.4955883, 12.4696569, 12.5878105, -0.1181536,VARIABLE,      0,true, 36, 36,  0,OK,      28.0123416800933995,      47.0018475423775968,      28.0123719526466530,      47.0023898742371955
       106,      4613863502423915008, 10.1651735, 10.7380848,  9.4459085,  1.2921762,NOT_AVAILABLE,      0,true, 40, 41,  0,OK,      47.4997316138724983,     -84.7225312513305937,      47.5003993290422173,     -84.7224864593999030
       109,      2941993086693170176, 12.0406208, 11.9298439, 12.2552195, -0.3253756,NOT_AVAILABLE,      0,true, 99, 95,  0,OK,      91.5558439367333392,     -20.3520967052652786,      91.5558439367334813,     -20.3520967052652253
       110,      5575007845317435648, 12.0232868, 11.8468275, 12.3849850, -0.5381575,NOT_AVAILABLE,      0,true, 41, 40,  0,OK,      95.8029496345604343,     -37.6911345501719381,      95.8029496345606333,     -37.6911345501719524
       112,       943770757800160384, 12.0560656, 11.9635401, 12.2588120, -0.2952719,NOT_AVAILABLE,      0,true, 22, 21,  0,OK,     101.9070034261299895,      37.5116828235925013,     101.9070034261302027,      37.5116828235923663
       113,       990352495624317568, 11.9508581, 11.9843616, 11.8766603,  0.1077013,NOT_AVAILABLE,      0,true, 35, 34,  0,OK,     109.4011048600505944,      58.4056958553290997,     109.4012714571823324,      58.4055390900339191
       118,      1052266579499163392, 12.6287613, 13.0037489, 12.0767956,  0.9269533,NOT_AVAILABLE,      0,true, 56, 56,  0,BIN,     157.2015666786332986,      62.9957201137978018,     157.2033621701145307,      62.9946399532017907
       121,      3788194488314248832, 13.0905704, 13.0450230, 13.2140388, -0.1690159,VARIABLE,      0,true, 28, 24,  0,OK,     166.9995455705608549,      -5.1591990091838893,     166.9995455705611676,      -5.1591990091838067
       124,      4019458647338779648, 12.4922094, 12.4045238, 12.6926079, -0.2880840,VARIABLE,      0,true, 28, 29,  0,OK,     174.2712672777236094,      29.7995246503025015,     174.2705107313152553,      29.7994689522560989
       129,      3520997013687539712,  9.7360506, 10.3515129,  8.9838924,  1.3676205,NOT_AVAILABLE,      0,true, 29, 30,  1,OK,     183.5439312638508227,     -17.2389957059608356,     183.5439312638509080,     -17.2389957059608854
       130,      3685507214745543040, 12.5826693, 13.0025702, 11.9890699,  1.0135002,VARIABLE,      0,true, 33, 32,  0,OK,     195.5066123236220790,      -2.0915559934230559,     195.5066123236219369,      -2.0915559934231771
       132,      6335641365117256192, 11.8034487, 12.1768513, 11.2528696,  0.9239817,NOT_AVAILABLE,      0,true, 25, 25,  0,OK,     227.4420438776929245,      -4.7539347333391664,     227.4420438776926119,      -4.7539347333391477
       133,      1639946061258413312, 12.5642805, 12.8946962, 12.0536661,  0.8410301,NOT_AVAILABLE,      0,true, 61, 59,  1,OK,     236.5590909302850093,      62.4436313822572160,     236.5590909302848956,      62.4436313822572657
       134,      4412702764879270656, 10.6150904, 10.9560757, 10.0903959,  0.8656797,NOT_AVAILABLE,      0,true, 40, 39,  0,OK,     239.5771722176308174,       2.0506258316663888,     239.5771722176306184,       2.0506258316664581
       136,      1406378695954996352, 11.1000843, 11.4816341, 10.5376396,  0.9439945,NOT_AVAILABLE,      0,true, 43, 43,  1,OK,     247.0686330344928763,      44.6742195149161105,     247.0686330344927626,      44.6742195149161034
       139,      4569481097095820032,  8.7184038,  9.0891657,  8.1561069,  0.9330587,NOT_AVAILABLE,      0,true, 71, 69,  0,ChP,     263.1718208309841884,      23.7361711079102804,     263.1718208309840179,      23.7361711079101596
       144,      4319908862597055232, 13.0189419, 12.9803782, 13.1257010, -0.1453228,NOT_AVAILABLE,      0,true, 41, 42,  1,OK,     290.4182563607862448,      14.6778304271877769,     290.4182563607856196,      14.6778304271878977
       145,      4296558843393685632, 10.5041418, 10.9269361,  9.9013920,  1.0255442,NOT_AVAILABLE,      0,true, 47, 48,  0,OK,     297.9560324258750370,       5.6117520676072221,     297.9560324258752075,       5.6117520676072532
       146,      1831553382794173824, 11.5365744, 11.4483452, 11.7237778, -0.2754326,NOT_AVAILABLE,      0,true, 42, 42,  1,OK,     308.5892070602341732,      25.0613155643197238,     308.5892070602339459,      25.0613155643195924
       147,      4228176122142169600, 10.4032402, 10.7272472,  9.9028692,  0.8243780,NOT_AVAILABLE,      3,true, 44, 44,  0,BIN,     310.0677334701541668,       0.5548436006700000,     310.0677334701536552,       0.5548436006700769
       153,      2011130908940738304, 12.4729042, 12.8888044, 11.8820181,  1.0067863,NOT_AVAILABLE,      0,true, 51, 51,  0,OK,     355.3520591751915276,      59.4096990799233993,     355.3524983619574868,      59.4087113091183241
       156,      2874319284171715968, 13.7584047, 13.5923786, 14.0815468, -0.4891682,NOT_AVAILABLE,      0,true, 64, 59,  1,OK,       1.8840008991745834,      33.2907274995141620,       1.8840008991747801,      33.2907274995142757
       158,      2323394345824851584, 13.6196680, 13.9815788, 13.0863638,  0.8952150,VARIABLE,      0,true, 35, 34,  0,OK,       5.3780863553962490,     -26.4365055072963884,       5.3780863553962348,     -26.4365055072962640
       160,      5027329077612492928, 16.5293140, 17.2493553, 15.7048502,  1.5445051,NOT_AVAILABLE,      0,true, 58, 57,  0,OK,      16.6952377718533000,     -32.8868296667285023,      16.6953189406829097,     -32.8868366003313568
       164,       458558784733311232, 13.6403837, 13.5427065, 13.8507042, -0.3079977,NOT_AVAILABLE,      0,true, 54, 51,  1,OK,      34.3896938185233978,      57.1131529621959970,      34.3910944078167660,      57.1130477635602674
       165,       446003598888454400, 13.4599714, 13.9834442, 12.7678747,  1.2155695,NOT_AVAILABLE,      0,true, 44, 43,  0,OK,      49.3472525491815972,      52.2950700152517030,      49.3492384054950932,      52.2946040431360331
       171,       268550015665098880, 13.0254765, 13.3982401, 12.4750185,  0.9232216,NOT_AVAILABLE,      0,true, 36, 36,  1,OK,      86.1814404713285995,      56.2584421500071983,      86.1817986244751637,      56.2570486292207264
       174,       987911506794398976, 12.8087215, 13.1346502, 12.3054171,  0.8292332,NOT_AVAILABLE,      0,true, 38, 37,  0,OK,     105.8609307698370827,      54.8674411475269466,     105.8609307698366848,      54.8674411475269181
       183,       861050512312844672, 13.8192806, 13.7472715, 13.9807968, -0.2335253,NOT_AVAILABLE,      0,true, 60, 56,  0,OK,     166.9282267506289088,      59.9749048456180986,     166.9265132519387294,      59.9741630175531384
       191,      1272306378368710528, 13.3065834, 13.7000914, 12.7263470,  0.9737444,NOT_AVAILABLE,      0,true, 99, 93,  1,OK,     233.8796230026420915,      27.8498895181724997,     233.8796230026422620,      27.8498895181724855
       193,      1384866854036828032, 13.8495045, 13.8488016, 13.8805304, -0.0317287,NOT_AVAILABLE,      0,true, 47, 45,  1,OK,     242.0916863288591685,      42.0959059912202775,     242.0916863288587138,      42.0959059912202989
       194,      1331106782752978688, 13.7830753, 13.8481426, 13.6607246,  0.1874180,NOT_AVAILABLE,      0,true, 50, 47,  1,OK,     247.1014373594070719,      36.7743872653758359,     247.1014373594074698,      36.7743872653757293
       201,      6443328221136801920, 13.3137865, 13.1517239, 13.6353703, -0.4836464,NOT_AVAILABLE,      0,true, 36, 35,  0,OK,     302.2742906192320902,     -60.4287890717388834,     302.2742906192320334,     -60.4287890717389615
       203,      2064272612307218176, 13.3736963, 13.2593813, 13.6091757, -0.3497944,NOT_AVAILABLE,      0,true, 48, 48,  0,OK,     307.4840820051832111,      39.2256108659342004,     307.4849244500841792,      39.2260160454913205
       204,      6424566979354709248, 13.3394747, 13.2878809, 13.4688854, -0.1810045,NOT_AVAILABLE,      0,true, 60, 58,  1,OK,     311.0915799648470852,     -68.0902800627277713,     311.0915799648467441,     -68.0902800627277713
       205,      2166111956258599680, 13.0201378, 12.8692808, 13.3270245, -0.4577436,NOT_AVAILABLE,      0,true, 48, 44,  0,OK,     318.1841336258870570,      50.1048957083908348,     318.1841336258873412,      50.1048957083906998
       208,      1848336633214247808, 13.8190365, 13.6539078, 14.1501923, -0.4962845,VARIABLE,      0,true, 52, 50,  0,OK,     321.2423531816053810,      28.4340628553514989,     321.2421189040031209,      28.4338311864006990
       209,      2300234782654298624, 13.0465126, 12.9795227, 13.1974068, -0.2178841,VARIABLE,      0,true, 37, 36,  0,OK,     323.4304579505117090,      83.0590087747754069,     323.4408604164548819,      83.0615306221829286
       211,      1792830060723673472, 13.1746721, 13.2524643, 13.0188046,  0.2336597,NOT_AVAILABLE,      0,true, 30, 30,  1,OK,     325.6697900500420815,      20.9965916876838889,     325.6697900500423657,      20.9965916876839742
       217,       418491412783587200, 13.9980354, 14.0096483, 13.9463253,  0.0633230,NOT_AVAILABLE,      0,true, 72, 74,  1,OK,      10.3443441044195836,      55.8353417302783370,      10.3443441044194095,      55.8353417302783512
       220,      5037084872486444928, 14.9600754, 15.1200247, 14.6621456,  0.4578791,NOT_AVAILABLE,      0,true, 47, 50,  0,OK,      21.3531097516566675,     -26.0146783675608333,      21.3531097516566035,     -26.0146783675607800
       221,       532196686212705536, 14.2348852, 14.6750612, 13.6164722,  1.0585890,NOT_AVAILABLE,      0,true, 54, 54,  0,OK,      24.6667626900441661,      69.6334849895572319,      24.6667626900442940,      69.6334849895573313
       224,       466384799259137920, 14.9914074, 15.0187864, 14.9547787,  0.0640078,NOT_AVAILABLE,      0,true, 59, 59,  0,OK,      46.5695530126916992,      62.3729020927879034,      46.5701238829926183,      62.3724043380529665
       230,      3022956969731332096, 14.2366724, 14.7266407, 13.5929832,  1.1336575,NOT_AVAILABLE,      0,true, 57, 57,  1,OK,      88.7897103651180970,      -4.1686292598853001,      88.7920955577364737,      -4.1789270915525885
       234,       850146827299032704, 14.4378977, 14.2676544, 14.7633228, -0.4956684,NOT_AVAILABLE,      0,true, 50, 46,  1,OK,     158.0416105620568885,      53.4931591868470022,     158.0411724557851585,      53.4930536420220690
       236,       854393484803051776, 14.5741625, 14.4293289, 14.8590298, -0.4297009,NOT_AVAILABLE,      0,true, 82, 78,  0,OK,     161.1911603396648047,      57.7433329338129013,     161.1904509313851293,      57.7435840571950152
       248,      1478363619145920640, 13.9980021, 13.9280682, 14.1633749, -0.2353067,VARIABLE,      0,true, 47, 44,  0,OK,     212.6123504769449823,      32.1421819602913885,     212.6123504769453234,      32.1421819602913672
